clientId,cluster,jobName,cronExpression,serverTimezone,fireTimeServer,fireTimeUtc,fireTimeIst,command
"SFC","CL52","SFC - encryptPayfile","*/15 * * * *","Europe/London","2026-07-24 09:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/encryptPayfile.sh >> /mount/RWS4/batch_jobs/log/encryptPayfile.log 2>"
"SIG","CL17","SIG - CognosCustomencryptExtracts [SIGNET]","0 * * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/CognosCustomencryptExtracts.sh SIGNET >> /mount/RWS4/batch_jobs/log/C"
"SIG","CL17","SIG - CustomExtractsBARC","*/10 * * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/CustomExtractsBARC.sh >> /mount/RWS4/batch_jobs/log/CustomExtractsBAR"
"SIG","CL17","SIG - encryptExtracts [SIGNET]","*/30 * * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/encryptExtracts.sh SIGNET >> /mount/RWS4/batch_jobs/log/encryptExtrac"
"SIG","CL17","SIG - encryptReportsExtracts","*/30 * * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/encryptReportsExtracts.sh >> /mount/RWS4/batch_jobs/log/encryptReport"
"SMLC","CL03","SMLC - Monitoring RWS Processes [IN_FOLDER_CHECK]","0 */1 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh IN_FOLDER_CHECK >> /mount/RWS4/batch"
"SMLC","CL03","SMLC - Monitoring RWS Processes [REJECTED_FILE_CHECK]","0 */2 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh REJECTED_FILE_CHECK >> /mount/RWS4/b"
"SMLC","CL03","SMLC - Monitoring RWS Processes [UPLOAD_FILE_CHECK]","0 */4 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh UPLOAD_FILE_CHECK >> /mount/RWS4/bat"
"SMLC","CL03","SMLC - encryptExtracts [SMLC]","*/30 * * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/encryptExtracts.sh SMLC >> /mount/RWS4/batch_jobs/log/encryptsExtract"
"SMLC","CL03","SMLC - moveLogsToSftp [SMLC 15]","0 */1 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/moveLogsToSftp.sh SMLC 15 >> /mount/RWS4/batch_jobs/log/moveLogsToSft"
"TAG","CL03","TAG - Monitoring RWS Processes [IN_FOLDER_CHECK]","0 */4 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh IN_FOLDER_CHECK >> /mount/RWS4/batch"
"TAG","CL03","TAG - Monitoring RWS Processes [REJECTED_FILE_CHECK]","0 */4 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh REJECTED_FILE_CHECK >> /mount/RWS4/b"
"TAG","CL03","TAG - Monitoring RWS Processes [UPLOAD_FILE_CHECK]","0 */4 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/WAPM/scripts/Monitoring_RWS_Processes.sh UPLOAD_FILE_CHECK >> /mount/RWS4/bat"
"TAG","CL03","TAG - download [TAG]","*/30 * * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/download.sh TAG >> /mount/RWS4/batch_jobs/log/dataimports.log 2>&1"
"TAG","CL03","TAG - encryptExtracts [TAG]","*/30 * * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/encryptExtracts.sh TAG >> /mount/RWS4/batch_jobs/log/encryptExtracts."
"TSC","CL14","TSC - EmployeeShiftDetailsExtract","0 */1 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/EmployeeShiftDetailsExtract.sh >> /mount/RWS4/batch_jobs/log/Employee"
"TTW","CL23","TTW - PayActiv","0 4,10,16,22 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/PayActiv.sh >> /mount/RWS4/batch_jobs/log/PayActiv.log 2>&1"
"TTW","CL23","TTW - encryptExtracts","0 * * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/encryptExtracts.sh >> /mount/RWS4/batch_jobs/log/encryptExtracts.log "
"TWG","CL15","TWG - * [/mount/backup/HR03_Logs/]","0 * * * *","Pacific/Auckland","2026-07-24 20:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","mv /mount/RWS4/appuploads/upload/122690099/DTS/HR/Log/HR03/* /mount/backup/HR03_Logs/ > /dev/null 2>"
"TWG","CL15","TWG - monitor TWG RTATerminationPayJob","*/22 * * * *","Pacific/Auckland","2026-07-24 20:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/monitor_TWG_RTATerminationPayJob.sh >> /mount/RWS4/batch_jobs/logs/mo"
