clientId,cluster,jobName,cronExpression,serverTimezone,fireTimeServer,fireTimeUtc,fireTimeIst,command
"CVSH","CL20","CVSH - uploadFiles [CVS]","00 */1 * * *","America/New_York","2026-07-24 03:00:00","2026-07-24T07:00:00.000Z","2026-07-24 12:30:00","/mount/RWS4/batch_jobs/scripts/usertracing/uploadFiles.sh CVS >> /mount/RWS4/batch_jobs/log/uploadFi"
"CVSH","CL20","CVSH - CognosCustomencryptExtracts [CVS]","5 * * * *","America/New_York","2026-07-24 03:05:00","2026-07-24T07:05:00.000Z","2026-07-24 12:35:00","/mount/RWS4/batch_jobs/scripts/CognosCustomencryptExtracts.sh CVS >> /mount/RWS4/batch_jobs/log/Cogn"
"CVSH","CL20","CVSH - CognosDailyScheduleExtractsStatus [CVS]","45 3 * * *","America/New_York","2026-07-24 03:45:00","2026-07-24T07:45:00.000Z","2026-07-24 13:15:00","/mount/RWS4/batch_jobs/scripts/CognosDailyScheduleExtractsStatus.sh CVS >> /mount/RWS4/batch_jobs/lo"
"CVSDC","CL20","CVSDC - download [CVSDC]","0 */4 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/download.sh CVSDC >> /mount/RWS4/batch_jobs/log/dataimports.log 2>&1"
"CVSH","CL20","CVSH - uploadFiles [CVS]","00 */1 * * *","America/New_York","2026-07-24 04:00:00","2026-07-24T08:00:00.000Z","2026-07-24 13:30:00","/mount/RWS4/batch_jobs/scripts/usertracing/uploadFiles.sh CVS >> /mount/RWS4/batch_jobs/log/uploadFi"
